iter	Logloss
0	0.6656927944
1	0.647734713
2	0.6273081125
3	0.6148567515
4	0.5996479633
5	0.5804227719
6	0.5690881398
7	0.5561589012
8	0.5471022425
9	0.5407450652
10	0.5330640304
11	0.5255931823
12	0.5193071602
13	0.5133960188
14	0.5067868193
15	0.501209259
16	0.4953436733
17	0.4878625476
18	0.4842953643
19	0.4760962557
20	0.4699665732
21	0.4644964864
22	0.4607713873
23	0.4552643831
24	0.4516600932
25	0.4448324787
26	0.4408362523
27	0.4366642345
28	0.4326945533
29	0.428048189
30	0.424875023
31	0.4197752141
32	0.4163584433
33	0.4117676601
34	0.4086495076
35	0.4040633273
36	0.4023207988
37	0.3995658307
38	0.3968142044
39	0.3941609406
40	0.3900783633
41	0.3871665828
42	0.3833624469
43	0.3818829119
44	0.3794343806
45	0.3771944913
46	0.3736566591
47	0.3723204116
48	0.3708102013
49	0.369156735
50	0.3652294254
51	0.3629154174
52	0.3602148009
53	0.3589815502
54	0.3569188394
55	0.3551193111
56	0.3522152546
57	0.3502709885
58	0.348824304
59	0.3478657431
60	0.3437068719
61	0.341568939
62	0.3392127171
63	0.336857441
64	0.3344614013
65	0.3327264707
66	0.3310019123
67	0.3281731724
68	0.3257173585
69	0.3238493234
70	0.32220831
71	0.3186133834
72	0.3165318513
73	0.3141931581
74	0.3129262372
75	0.3093874908
76	0.3079263987
77	0.3056194211
78	0.3038796984
79	0.3025365152
80	0.2984762586
81	0.2955997246
82	0.2928362129
83	0.2903234939
84	0.2875562936
85	0.2850421874
86	0.2803000773
87	0.2779340823
88	0.276354703
89	0.2733794283
90	0.2712702475
91	0.2688215902
92	0.2657856587
93	0.2641792297
94	0.2620267474
95	0.2599709881
96	0.2584611246
97	0.255744808
98	0.2535884952
99	0.2516126712
100	0.2487177258
101	0.2461154402
102	0.2448280587
103	0.2431790376
104	0.2412166438
105	0.2408530338
106	0.2389854715
107	0.2363584534
108	0.2347960984
109	0.2324050399
110	0.2298001691
111	0.2278676467
112	0.2253024834
113	0.2229878607
114	0.2204024417
115	0.2178548545
116	0.2164023376
117	0.2143197808
118	0.2128726076
119	0.2112742653
120	0.2096523726
121	0.2081894205
122	0.205919912
123	0.2039799651
124	0.2026592444
125	0.2003892631
126	0.1985599581
127	0.1982339591
128	0.1968604159
129	0.1955907207
130	0.1942459138
131	0.1930703723
132	0.1910479522
133	0.1900607968
134	0.1877758247
135	0.1872926822
136	0.1858695479
137	0.1844130272
138	0.1832936342
139	0.1820872914
140	0.1808383406
141	0.1803284322
142	0.1787454905
143	0.1775771527
144	0.1762629422
145	0.1752615369
146	0.1750656159
147	0.1737527611
148	0.1724779113
149	0.1714246923
150	0.1696687336
151	0.1676561182
152	0.1665606065
153	0.1648758502
154	0.1630623715
155	0.1616272099
156	0.1609250534
157	0.1598904192
158	0.1588765925
159	0.157966535
160	0.1560031639
161	0.1553028832
162	0.154127184
163	0.1529506652
164	0.1516176019
165	0.1500197166
166	0.1493727314
167	0.1487823203
168	0.1473951734
169	0.1470736984
170	0.1462892895
171	0.1452306007
172	0.1441112392
173	0.1424871713
174	0.1417782523
175	0.140833831
176	0.1391569878
177	0.1378027073
178	0.136511716
179	0.1356396636
180	0.1345979675
181	0.1335238622
182	0.1324018053
183	0.1315651492
184	0.1303591137
185	0.129222263
186	0.1284968085
187	0.1275556028
188	0.1266460261
189	0.1259809368
190	0.1250468167
191	0.1241605144
192	0.1227517877
193	0.1220453909
194	0.1212549131
195	0.1205624352
196	0.1198779492
197	0.1192603781
198	0.1181191216
199	0.1176257409
200	0.1170492093
201	0.1162561622
202	0.1158022605
203	0.1149011486
204	0.1139960801
205	0.1132822588
206	0.1125816156
207	0.112254994
208	0.1114382626
209	0.1105882235
210	0.110057421
211	0.1092692288
212	0.1087158771
213	0.1083949381
214	0.1081364529
215	0.1075997471
216	0.1070612127
217	0.1059243147
218	0.1053185739
219	0.1045747237
220	0.1041403368
221	0.1036648238
222	0.1026839579
223	0.1019734863
224	0.1012951875
225	0.10078096
226	0.1006116394
227	0.1001737453
228	0.09957211865
229	0.09908279703
230	0.09786334708
231	0.09737347374
232	0.0967865936
233	0.09631070224
234	0.09564727594
235	0.09513686314
236	0.09486274089
237	0.09454019405
238	0.09418077705
239	0.09351311833
240	0.09294216692
241	0.09257868302
242	0.09192985346
243	0.0913950392
244	0.09083076351
245	0.09036510247
246	0.08965701899
247	0.08911426008
248	0.08849259053
249	0.08832751818
250	0.08812097281
251	0.08794523665
252	0.08735834863
253	0.08682772739
254	0.08623406907
255	0.08588095736
256	0.08534393626
257	0.08491853446
258	0.08443379205
259	0.08403439955
260	0.08346929629
261	0.08309966474
262	0.08285735264
263	0.08264579458
264	0.08244099105
265	0.08202254083
266	0.08186523185
267	0.08124644697
268	0.08067252419
269	0.08025694288
270	0.07951631625
271	0.07908048709
272	0.07843670175
273	0.07801169403
274	0.07762592095
275	0.07725147373
276	0.07680662801
277	0.07631485521
278	0.07583755304
279	0.07560596781
280	0.07491037668
281	0.07448015922
282	0.07433943315
283	0.07406067651
284	0.07379222113
285	0.07340977409
286	0.07304271982
287	0.07281503599
288	0.07215494361
289	0.07173112601
290	0.07139127905
291	0.07126079906
292	0.07107827683
293	0.07042247993
294	0.07015759492
295	0.06983011419
296	0.06940419221
297	0.06912121103
298	0.06901348524
299	0.06886625684
300	0.06827884075
301	0.06780518776
302	0.06737805201
303	0.06698502785
304	0.06645076531
305	0.06613541438
306	0.06589580961
307	0.06579007787
308	0.06546206514
309	0.06524675543
310	0.06498219356
311	0.06437526656
312	0.06398667974
313	0.06369631744
314	0.06309342975
315	0.06304574604
316	0.06260479383
317	0.0625002798
318	0.06201731469
319	0.06176342452
320	0.06149293569
321	0.06130309932
322	0.0608927041
323	0.06085727629
324	0.06054352138
325	0.06024533264
326	0.05995579002
327	0.05989740309
328	0.05976187493
329	0.05941832755
330	0.05914102113
331	0.05895887328
332	0.05866998089
333	0.05838994743
334	0.05810617809
335	0.05803118461
336	0.05776957047
337	0.05742552655
338	0.05705193055
339	0.05686659064
340	0.05668422604
341	0.05639603906
342	0.05618390958
343	0.05612932552
344	0.0558622573
345	0.05545511719
346	0.05523968137
347	0.05485585898
348	0.05460992529
349	0.05442750552
350	0.05437942379
351	0.05395373037
352	0.05362529597
353	0.05337074374
354	0.05319231601
355	0.05282238101
356	0.05259605676
357	0.05227741919
358	0.05213834037
359	0.05184481755
360	0.051633358
361	0.05133996128
362	0.05114073005
363	0.05089545447
364	0.05057983556
365	0.05054782048
366	0.05052957062
367	0.05025772221
368	0.0500217154
369	0.04977735409
370	0.0496401905
371	0.04944166073
372	0.04914035876
373	0.04885341313
374	0.04843452548
375	0.04816276771
376	0.04806756579
377	0.04760847801
378	0.04734270238
379	0.04727181127
380	0.04719675868
381	0.04702263036
382	0.04684565678
383	0.04655631909
384	0.04645400008
385	0.04637718201
386	0.04621737457
387	0.04587942707
388	0.04582681735
389	0.04560372849
390	0.0453645454
391	0.04523583877
392	0.04503077909
393	0.04491854108
394	0.0446596855
395	0.04446942353
396	0.04427098834
397	0.04422653214
398	0.04408298051
399	0.04388979841
